course_key,course_name,instructor,difficulty_level,certification_offered,study_material_available,course_duration_hours,course_price,feedback_score,enrollment_numbers,course_text
Python for Beginners | Emma Harris | Beginner,Python for Beginners,Emma Harris,Beginner,Yes,Yes,39.1,317.5,0.797,21600,"Course: Python for Beginners, Instructor: Emma Harris, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 39.1 hours, Price: 317.5, Feedback Score: 0.797"
Game Development with Unity | Dr. Mia Walker | Intermediate,Game Development with Unity,Dr. Mia Walker,Intermediate,Yes,Yes,60.2,84.92,0.9,13288,"Course: Game Development with Unity, Instructor: Dr. Mia Walker, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 60.2 hours, Price: 84.92, Feedback Score: 0.9"
Advanced Machine Learning | Dr. Mia Walker | Beginner,Advanced Machine Learning,Dr. Mia Walker,Beginner,Yes,Yes,35.2,198.4,0.736,10373,"Course: Advanced Machine Learning, Instructor: Dr. Mia Walker, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 35.2 hours, Price: 198.4, Feedback Score: 0.736"
Game Development with Unity | Ethan Hall | Beginner,Game Development with Unity,Ethan Hall,Beginner,No,Yes,45.3,330.18,0.881,22965,"Course: Game Development with Unity, Instructor: Ethan Hall, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 45.3 hours, Price: 330.18, Feedback Score: 0.881"
Photography and Video Editing | William Thomas | Beginner,Photography and Video Editing,William Thomas,Beginner,No,Yes,62.6,195.14,1.0,42548,"Course: Photography and Video Editing, Instructor: William Thomas, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 62.6 hours, Price: 195.14, Feedback Score: 1.0"
Mobile App Development with Swift | Dr. John Smith | Intermediate,Mobile App Development with Swift,Dr. John Smith,Intermediate,No,Yes,96.2,375.69,0.688,2448,"Course: Mobile App Development with Swift, Instructor: Dr. John Smith, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 96.2 hours, Price: 375.69, Feedback Score: 0.688"
Photography and Video Editing | Prof. Emily Johnson | Beginner,Photography and Video Editing,Prof. Emily Johnson,Beginner,No,No,78.2,360.7,0.663,17010,"Course: Photography and Video Editing, Instructor: Prof. Emily Johnson, Difficulty: Beginner, Certification: No, Study Material: No, Duration: 78.2 hours, Price: 360.7, Feedback Score: 0.663"
Public Speaking Mastery | Ethan Hall | Intermediate,Public Speaking Mastery,Ethan Hall,Intermediate,Yes,Yes,20.7,152.21,0.68,44766,"Course: Public Speaking Mastery, Instructor: Ethan Hall, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 20.7 hours, Price: 152.21, Feedback Score: 0.68"
Photography and Video Editing | Sarah Lee | Beginner,Photography and Video Editing,Sarah Lee,Beginner,Yes,Yes,29.4,399.91,0.478,9445,"Course: Photography and Video Editing, Instructor: Sarah Lee, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 29.4 hours, Price: 399.91, Feedback Score: 0.478"
Data Visualization with Tableau | Sarah Lee | Beginner,Data Visualization with Tableau,Sarah Lee,Beginner,Yes,No,67.5,129.67,0.736,48371,"Course: Data Visualization with Tableau, Instructor: Sarah Lee, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 67.5 hours, Price: 129.67, Feedback Score: 0.736"
Game Development with Unity | Prof. Emily Johnson | Intermediate,Game Development with Unity,Prof. Emily Johnson,Intermediate,Yes,Yes,21.3,72.1,0.9,4607,"Course: Game Development with Unity, Instructor: Prof. Emily Johnson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 21.3 hours, Price: 72.1, Feedback Score: 0.9"
Blockchain and Decentralized Applications | William Thomas | Advanced,Blockchain and Decentralized Applications,William Thomas,Advanced,Yes,Yes,71.3,113.5,0.66,29426,"Course: Blockchain and Decentralized Applications, Instructor: William Thomas, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 71.3 hours, Price: 113.5, Feedback Score: 0.66"
Project Management Fundamentals | James Clark | Beginner,Project Management Fundamentals,James Clark,Beginner,Yes,Yes,16.5,474.38,0.792,37133,"Course: Project Management Fundamentals, Instructor: James Clark, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 16.5 hours, Price: 474.38, Feedback Score: 0.792"
Python for Beginners | Dr. Robert Davis | Beginner,Python for Beginners,Dr. Robert Davis,Beginner,No,Yes,25.2,303.25,0.862,10594,"Course: Python for Beginners, Instructor: Dr. Robert Davis, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 25.2 hours, Price: 303.25, Feedback Score: 0.862"
Ethical Hacking Masterclass | Charlotte King | Advanced,Ethical Hacking Masterclass,Charlotte King,Advanced,Yes,Yes,93.6,408.83,0.915,5625,"Course: Ethical Hacking Masterclass, Instructor: Charlotte King, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 93.6 hours, Price: 408.83, Feedback Score: 0.915"
Data Visualization with Tableau | Dr. Mia Walker | Intermediate,Data Visualization with Tableau,Dr. Mia Walker,Intermediate,Yes,Yes,25.3,389.91,0.717,40441,"Course: Data Visualization with Tableau, Instructor: Dr. Mia Walker, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 25.3 hours, Price: 389.91, Feedback Score: 0.717"
Stock Market and Trading Strategies | Dr. Robert Davis | Beginner,Stock Market and Trading Strategies,Dr. Robert Davis,Beginner,Yes,No,58.4,386.64,0.705,48235,"Course: Stock Market and Trading Strategies, Instructor: Dr. Robert Davis, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 58.4 hours, Price: 386.64, Feedback Score: 0.705"
Graphic Design with Canva | James Clark | Intermediate,Graphic Design with Canva,James Clark,Intermediate,Yes,No,30.4,192.9,0.601,33798,"Course: Graphic Design with Canva, Instructor: James Clark, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 30.4 hours, Price: 192.9, Feedback Score: 0.601"
Python for Beginners | Michael Brown | Beginner,Python for Beginners,Michael Brown,Beginner,Yes,Yes,88.5,465.08,0.621,27377,"Course: Python for Beginners, Instructor: Michael Brown, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 88.5 hours, Price: 465.08, Feedback Score: 0.621"
Personal Finance and Wealth Building | Dr. John Smith | Intermediate,Personal Finance and Wealth Building,Dr. John Smith,Intermediate,Yes,Yes,22.1,376.91,0.593,11045,"Course: Personal Finance and Wealth Building, Instructor: Dr. John Smith, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 22.1 hours, Price: 376.91, Feedback Score: 0.593"
Game Development with Unity | Dr. John Smith | Advanced,Game Development with Unity,Dr. John Smith,Advanced,Yes,No,40.1,256.21,0.621,14677,"Course: Game Development with Unity, Instructor: Dr. John Smith, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 40.1 hours, Price: 256.21, Feedback Score: 0.621"
Data Visualization with Tableau | William Thomas | Intermediate,Data Visualization with Tableau,William Thomas,Intermediate,Yes,Yes,41.4,245.81,0.695,13150,"Course: Data Visualization with Tableau, Instructor: William Thomas, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 41.4 hours, Price: 245.81, Feedback Score: 0.695"
Photography and Video Editing | Dr. Robert Davis | Advanced,Photography and Video Editing,Dr. Robert Davis,Advanced,No,Yes,13.9,232.66,0.7,1250,"Course: Photography and Video Editing, Instructor: Dr. Robert Davis, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 13.9 hours, Price: 232.66, Feedback Score: 0.7"
Mobile App Development with Swift | Prof. Emily Johnson | Beginner,Mobile App Development with Swift,Prof. Emily Johnson,Beginner,No,Yes,19.2,280.62,1.0,22987,"Course: Mobile App Development with Swift, Instructor: Prof. Emily Johnson, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 19.2 hours, Price: 280.62, Feedback Score: 1.0"
Cybersecurity for Professionals | Michael Brown | Advanced,Cybersecurity for Professionals,Michael Brown,Advanced,No,No,96.9,62.94,0.795,21809,"Course: Cybersecurity for Professionals, Instructor: Michael Brown, Difficulty: Advanced, Certification: No, Study Material: No, Duration: 96.9 hours, Price: 62.94, Feedback Score: 0.795"
Fitness and Nutrition Coaching | Prof. Emily Johnson | Advanced,Fitness and Nutrition Coaching,Prof. Emily Johnson,Advanced,No,No,64.7,198.61,0.626,21223,"Course: Fitness and Nutrition Coaching, Instructor: Prof. Emily Johnson, Difficulty: Advanced, Certification: No, Study Material: No, Duration: 64.7 hours, Price: 198.61, Feedback Score: 0.626"
Advanced Machine Learning | Jessica Martinez | Beginner,Advanced Machine Learning,Jessica Martinez,Beginner,No,No,37.4,222.33,0.653,26900,"Course: Advanced Machine Learning, Instructor: Jessica Martinez, Difficulty: Beginner, Certification: No, Study Material: No, Duration: 37.4 hours, Price: 222.33, Feedback Score: 0.653"
Networking and System Administration | William Thomas | Advanced,Networking and System Administration,William Thomas,Advanced,Yes,Yes,69.5,155.85,0.964,2555,"Course: Networking and System Administration, Instructor: William Thomas, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 69.5 hours, Price: 155.85, Feedback Score: 0.964"
Blockchain and Decentralized Applications | Isabella Scott | Intermediate,Blockchain and Decentralized Applications,Isabella Scott,Intermediate,No,Yes,71.0,456.83,0.869,29818,"Course: Blockchain and Decentralized Applications, Instructor: Isabella Scott, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 71.0 hours, Price: 456.83, Feedback Score: 0.869"
Mobile App Development with Swift | Benjamin Lewis | Advanced,Mobile App Development with Swift,Benjamin Lewis,Advanced,Yes,Yes,14.2,493.7,0.919,34943,"Course: Mobile App Development with Swift, Instructor: Benjamin Lewis, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 14.2 hours, Price: 493.7, Feedback Score: 0.919"
Mobile App Development with Swift | Alexander Young | Intermediate,Mobile App Development with Swift,Alexander Young,Intermediate,Yes,Yes,48.6,386.5,0.849,29017,"Course: Mobile App Development with Swift, Instructor: Alexander Young, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 48.6 hours, Price: 386.5, Feedback Score: 0.849"
Personal Finance and Wealth Building | Dr. Mia Walker | Advanced,Personal Finance and Wealth Building,Dr. Mia Walker,Advanced,Yes,No,54.1,399.16,0.62,10526,"Course: Personal Finance and Wealth Building, Instructor: Dr. Mia Walker, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 54.1 hours, Price: 399.16, Feedback Score: 0.62"
Ethical Hacking Masterclass | James Clark | Beginner,Ethical Hacking Masterclass,James Clark,Beginner,No,Yes,98.3,459.01,0.599,40673,"Course: Ethical Hacking Masterclass, Instructor: James Clark, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 98.3 hours, Price: 459.01, Feedback Score: 0.599"
Game Development with Unity | Alexander Young | Intermediate,Game Development with Unity,Alexander Young,Intermediate,Yes,Yes,59.9,198.63,1.0,12787,"Course: Game Development with Unity, Instructor: Alexander Young, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 59.9 hours, Price: 198.63, Feedback Score: 1.0"
Python for Beginners | Michael Brown | Intermediate,Python for Beginners,Michael Brown,Intermediate,Yes,Yes,89.6,287.47,0.787,27209,"Course: Python for Beginners, Instructor: Michael Brown, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 89.6 hours, Price: 287.47, Feedback Score: 0.787"
Personal Finance and Wealth Building | Prof. Emily Johnson | Intermediate,Personal Finance and Wealth Building,Prof. Emily Johnson,Intermediate,Yes,Yes,30.6,51.93,0.851,35111,"Course: Personal Finance and Wealth Building, Instructor: Prof. Emily Johnson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 30.6 hours, Price: 51.93, Feedback Score: 0.851"
Stock Market and Trading Strategies | James Clark | Advanced,Stock Market and Trading Strategies,James Clark,Advanced,Yes,Yes,57.1,499.84,1.0,3728,"Course: Stock Market and Trading Strategies, Instructor: James Clark, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 57.1 hours, Price: 499.84, Feedback Score: 1.0"
Stock Market and Trading Strategies | Prof. Emily Johnson | Advanced,Stock Market and Trading Strategies,Prof. Emily Johnson,Advanced,No,Yes,53.9,91.16,0.874,2576,"Course: Stock Market and Trading Strategies, Instructor: Prof. Emily Johnson, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 53.9 hours, Price: 91.16, Feedback Score: 0.874"
Project Management Fundamentals | Isabella Scott | Intermediate,Project Management Fundamentals,Isabella Scott,Intermediate,Yes,Yes,84.9,151.08,1.0,12404,"Course: Project Management Fundamentals, Instructor: Isabella Scott, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 84.9 hours, Price: 151.08, Feedback Score: 1.0"
Photography and Video Editing | Dr. Mia Walker | Intermediate,Photography and Video Editing,Dr. Mia Walker,Intermediate,No,Yes,50.4,87.32,0.865,20809,"Course: Photography and Video Editing, Instructor: Dr. Mia Walker, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 50.4 hours, Price: 87.32, Feedback Score: 0.865"
Data Visualization with Tableau | Emma Harris | Beginner,Data Visualization with Tableau,Emma Harris,Beginner,Yes,Yes,6.6,277.66,0.913,41502,"Course: Data Visualization with Tableau, Instructor: Emma Harris, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 6.6 hours, Price: 277.66, Feedback Score: 0.913"
Photography and Video Editing | William Thomas | Advanced,Photography and Video Editing,William Thomas,Advanced,No,Yes,54.6,458.78,0.705,20739,"Course: Photography and Video Editing, Instructor: William Thomas, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 54.6 hours, Price: 458.78, Feedback Score: 0.705"
Public Speaking Mastery | David Wilson | Advanced,Public Speaking Mastery,David Wilson,Advanced,Yes,Yes,14.6,128.41,0.592,4144,"Course: Public Speaking Mastery, Instructor: David Wilson, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 14.6 hours, Price: 128.41, Feedback Score: 0.592"
Fitness and Nutrition Coaching | Isabella Scott | Advanced,Fitness and Nutrition Coaching,Isabella Scott,Advanced,Yes,Yes,34.3,62.06,0.822,49887,"Course: Fitness and Nutrition Coaching, Instructor: Isabella Scott, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 34.3 hours, Price: 62.06, Feedback Score: 0.822"
Fitness and Nutrition Coaching | Jessica Martinez | Intermediate,Fitness and Nutrition Coaching,Jessica Martinez,Intermediate,Yes,Yes,26.0,491.32,0.845,3226,"Course: Fitness and Nutrition Coaching, Instructor: Jessica Martinez, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 26.0 hours, Price: 491.32, Feedback Score: 0.845"
Photography and Video Editing | Jessica Martinez | Advanced,Photography and Video Editing,Jessica Martinez,Advanced,Yes,Yes,95.8,218.86,0.59,26688,"Course: Photography and Video Editing, Instructor: Jessica Martinez, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 95.8 hours, Price: 218.86, Feedback Score: 0.59"
Fundamentals of Digital Marketing | James Clark | Advanced,Fundamentals of Digital Marketing,James Clark,Advanced,Yes,No,50.6,30.95,0.729,40362,"Course: Fundamentals of Digital Marketing, Instructor: James Clark, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 50.6 hours, Price: 30.95, Feedback Score: 0.729"
Python for Beginners | James Clark | Intermediate,Python for Beginners,James Clark,Intermediate,Yes,Yes,62.5,321.73,0.744,45066,"Course: Python for Beginners, Instructor: James Clark, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 62.5 hours, Price: 321.73, Feedback Score: 0.744"
Project Management Fundamentals | Jessica Martinez | Advanced,Project Management Fundamentals,Jessica Martinez,Advanced,Yes,Yes,53.4,59.01,1.0,42155,"Course: Project Management Fundamentals, Instructor: Jessica Martinez, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 53.4 hours, Price: 59.01, Feedback Score: 1.0"
Photography and Video Editing | Ethan Hall | Intermediate,Photography and Video Editing,Ethan Hall,Intermediate,Yes,Yes,47.9,400.0,0.833,25967,"Course: Photography and Video Editing, Instructor: Ethan Hall, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 47.9 hours, Price: 400.0, Feedback Score: 0.833"
Blockchain and Decentralized Applications | Jessica Martinez | Beginner,Blockchain and Decentralized Applications,Jessica Martinez,Beginner,Yes,Yes,33.9,394.77,0.869,5894,"Course: Blockchain and Decentralized Applications, Instructor: Jessica Martinez, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 33.9 hours, Price: 394.77, Feedback Score: 0.869"
Cybersecurity for Professionals | Jessica Martinez | Intermediate,Cybersecurity for Professionals,Jessica Martinez,Intermediate,No,Yes,25.5,206.91,0.568,30084,"Course: Cybersecurity for Professionals, Instructor: Jessica Martinez, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 25.5 hours, Price: 206.91, Feedback Score: 0.568"
Game Development with Unity | Jessica Martinez | Intermediate,Game Development with Unity,Jessica Martinez,Intermediate,No,Yes,58.6,455.99,0.915,21659,"Course: Game Development with Unity, Instructor: Jessica Martinez, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 58.6 hours, Price: 455.99, Feedback Score: 0.915"
Cloud Computing Essentials | Ethan Hall | Beginner,Cloud Computing Essentials,Ethan Hall,Beginner,Yes,No,58.6,403.97,0.741,8121,"Course: Cloud Computing Essentials, Instructor: Ethan Hall, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 58.6 hours, Price: 403.97, Feedback Score: 0.741"
Advanced Machine Learning | Charlotte King | Intermediate,Advanced Machine Learning,Charlotte King,Intermediate,No,Yes,18.8,102.64,0.921,41784,"Course: Advanced Machine Learning, Instructor: Charlotte King, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 18.8 hours, Price: 102.64, Feedback Score: 0.921"
Graphic Design with Canva | David Wilson | Intermediate,Graphic Design with Canva,David Wilson,Intermediate,Yes,Yes,8.1,146.79,0.542,25980,"Course: Graphic Design with Canva, Instructor: David Wilson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 8.1 hours, Price: 146.79, Feedback Score: 0.542"
Mobile App Development with Swift | Ethan Hall | Intermediate,Mobile App Development with Swift,Ethan Hall,Intermediate,Yes,No,27.1,21.17,0.862,28333,"Course: Mobile App Development with Swift, Instructor: Ethan Hall, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 27.1 hours, Price: 21.17, Feedback Score: 0.862"
Public Speaking Mastery | David Wilson | Beginner,Public Speaking Mastery,David Wilson,Beginner,Yes,No,93.1,456.83,0.77,24682,"Course: Public Speaking Mastery, Instructor: David Wilson, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 93.1 hours, Price: 456.83, Feedback Score: 0.77"
Ethical Hacking Masterclass | James Clark | Intermediate,Ethical Hacking Masterclass,James Clark,Intermediate,No,Yes,38.3,272.34,0.758,24549,"Course: Ethical Hacking Masterclass, Instructor: James Clark, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 38.3 hours, Price: 272.34, Feedback Score: 0.758"
AI for Business Leaders | Ethan Hall | Intermediate,AI for Business Leaders,Ethan Hall,Intermediate,No,No,9.6,83.54,0.775,3233,"Course: AI for Business Leaders, Instructor: Ethan Hall, Difficulty: Intermediate, Certification: No, Study Material: No, Duration: 9.6 hours, Price: 83.54, Feedback Score: 0.775"
Project Management Fundamentals | William Thomas | Beginner,Project Management Fundamentals,William Thomas,Beginner,Yes,Yes,8.8,37.52,0.731,28089,"Course: Project Management Fundamentals, Instructor: William Thomas, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 8.8 hours, Price: 37.52, Feedback Score: 0.731"
Mobile App Development with Swift | James Clark | Intermediate,Mobile App Development with Swift,James Clark,Intermediate,Yes,Yes,41.9,401.13,0.818,43648,"Course: Mobile App Development with Swift, Instructor: James Clark, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 41.9 hours, Price: 401.13, Feedback Score: 0.818"
Stock Market and Trading Strategies | Isabella Scott | Advanced,Stock Market and Trading Strategies,Isabella Scott,Advanced,Yes,Yes,80.6,298.91,0.64,41458,"Course: Stock Market and Trading Strategies, Instructor: Isabella Scott, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 80.6 hours, Price: 298.91, Feedback Score: 0.64"
Personal Finance and Wealth Building | Alexander Young | Advanced,Personal Finance and Wealth Building,Alexander Young,Advanced,Yes,No,52.6,473.35,0.8,45489,"Course: Personal Finance and Wealth Building, Instructor: Alexander Young, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 52.6 hours, Price: 473.35, Feedback Score: 0.8"
Ethical Hacking Masterclass | Charlotte King | Intermediate,Ethical Hacking Masterclass,Charlotte King,Intermediate,Yes,Yes,95.9,299.66,0.858,37685,"Course: Ethical Hacking Masterclass, Instructor: Charlotte King, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 95.9 hours, Price: 299.66, Feedback Score: 0.858"
Data Visualization with Tableau | Olivia Taylor | Advanced,Data Visualization with Tableau,Olivia Taylor,Advanced,Yes,No,58.4,207.96,0.797,2415,"Course: Data Visualization with Tableau, Instructor: Olivia Taylor, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 58.4 hours, Price: 207.96, Feedback Score: 0.797"
Ethical Hacking Masterclass | Michael Brown | Beginner,Ethical Hacking Masterclass,Michael Brown,Beginner,No,Yes,34.7,420.31,0.87,19736,"Course: Ethical Hacking Masterclass, Instructor: Michael Brown, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 34.7 hours, Price: 420.31, Feedback Score: 0.87"
Advanced Machine Learning | James Clark | Beginner,Advanced Machine Learning,James Clark,Beginner,Yes,Yes,6.3,255.38,1.0,42371,"Course: Advanced Machine Learning, Instructor: James Clark, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 6.3 hours, Price: 255.38, Feedback Score: 1.0"
Ethical Hacking Masterclass | Sophia Anderson | Intermediate,Ethical Hacking Masterclass,Sophia Anderson,Intermediate,Yes,Yes,97.3,466.9,0.945,26412,"Course: Ethical Hacking Masterclass, Instructor: Sophia Anderson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 97.3 hours, Price: 466.9, Feedback Score: 0.945"
Personal Finance and Wealth Building | Sarah Lee | Beginner,Personal Finance and Wealth Building,Sarah Lee,Beginner,Yes,Yes,13.9,393.28,0.696,6205,"Course: Personal Finance and Wealth Building, Instructor: Sarah Lee, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 13.9 hours, Price: 393.28, Feedback Score: 0.696"
Project Management Fundamentals | Charlotte King | Advanced,Project Management Fundamentals,Charlotte King,Advanced,Yes,Yes,80.4,198.47,0.583,7983,"Course: Project Management Fundamentals, Instructor: Charlotte King, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 80.4 hours, Price: 198.47, Feedback Score: 0.583"
DevOps and Continuous Deployment | David Wilson | Advanced,DevOps and Continuous Deployment,David Wilson,Advanced,No,Yes,40.3,383.03,1.0,9775,"Course: DevOps and Continuous Deployment, Instructor: David Wilson, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 40.3 hours, Price: 383.03, Feedback Score: 1.0"
Blockchain and Decentralized Applications | Ethan Hall | Beginner,Blockchain and Decentralized Applications,Ethan Hall,Beginner,No,Yes,35.6,338.81,0.764,29764,"Course: Blockchain and Decentralized Applications, Instructor: Ethan Hall, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 35.6 hours, Price: 338.81, Feedback Score: 0.764"
Project Management Fundamentals | Isabella Scott | Advanced,Project Management Fundamentals,Isabella Scott,Advanced,Yes,Yes,35.2,272.83,0.68,15472,"Course: Project Management Fundamentals, Instructor: Isabella Scott, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 35.2 hours, Price: 272.83, Feedback Score: 0.68"
Ethical Hacking Masterclass | David Wilson | Advanced,Ethical Hacking Masterclass,David Wilson,Advanced,No,No,52.2,260.46,0.783,23420,"Course: Ethical Hacking Masterclass, Instructor: David Wilson, Difficulty: Advanced, Certification: No, Study Material: No, Duration: 52.2 hours, Price: 260.46, Feedback Score: 0.783"
Graphic Design with Canva | Charlotte King | Advanced,Graphic Design with Canva,Charlotte King,Advanced,No,No,63.1,131.55,0.655,20448,"Course: Graphic Design with Canva, Instructor: Charlotte King, Difficulty: Advanced, Certification: No, Study Material: No, Duration: 63.1 hours, Price: 131.55, Feedback Score: 0.655"
Public Speaking Mastery | Olivia Taylor | Intermediate,Public Speaking Mastery,Olivia Taylor,Intermediate,No,Yes,12.0,409.01,0.855,49132,"Course: Public Speaking Mastery, Instructor: Olivia Taylor, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 12.0 hours, Price: 409.01, Feedback Score: 0.855"
Personal Finance and Wealth Building | Liam Adams | Beginner,Personal Finance and Wealth Building,Liam Adams,Beginner,Yes,Yes,62.3,479.74,0.826,41009,"Course: Personal Finance and Wealth Building, Instructor: Liam Adams, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 62.3 hours, Price: 479.74, Feedback Score: 0.826"
Personal Finance and Wealth Building | Charlotte King | Intermediate,Personal Finance and Wealth Building,Charlotte King,Intermediate,No,Yes,28.9,105.26,0.789,35463,"Course: Personal Finance and Wealth Building, Instructor: Charlotte King, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 28.9 hours, Price: 105.26, Feedback Score: 0.789"
Project Management Fundamentals | Ethan Hall | Advanced,Project Management Fundamentals,Ethan Hall,Advanced,Yes,Yes,82.7,350.06,0.883,27742,"Course: Project Management Fundamentals, Instructor: Ethan Hall, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 82.7 hours, Price: 350.06, Feedback Score: 0.883"
Python for Beginners | Emma Harris | Advanced,Python for Beginners,Emma Harris,Advanced,Yes,Yes,83.0,415.08,0.913,31940,"Course: Python for Beginners, Instructor: Emma Harris, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 83.0 hours, Price: 415.08, Feedback Score: 0.913"
Public Speaking Mastery | Sophia Anderson | Advanced,Public Speaking Mastery,Sophia Anderson,Advanced,Yes,Yes,81.4,451.46,1.0,42789,"Course: Public Speaking Mastery, Instructor: Sophia Anderson, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 81.4 hours, Price: 451.46, Feedback Score: 1.0"
Python for Beginners | Isabella Scott | Beginner,Python for Beginners,Isabella Scott,Beginner,No,Yes,59.0,294.49,0.844,7289,"Course: Python for Beginners, Instructor: Isabella Scott, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 59.0 hours, Price: 294.49, Feedback Score: 0.844"
Mobile App Development with Swift | Daniel White | Intermediate,Mobile App Development with Swift,Daniel White,Intermediate,Yes,Yes,77.2,231.07,0.91,15588,"Course: Mobile App Development with Swift, Instructor: Daniel White, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 77.2 hours, Price: 231.07, Feedback Score: 0.91"
Advanced Machine Learning | James Clark | Intermediate,Advanced Machine Learning,James Clark,Intermediate,Yes,Yes,83.9,301.47,0.565,24516,"Course: Advanced Machine Learning, Instructor: James Clark, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 83.9 hours, Price: 301.47, Feedback Score: 0.565"
Graphic Design with Canva | Benjamin Lewis | Intermediate,Graphic Design with Canva,Benjamin Lewis,Intermediate,Yes,No,97.4,193.12,0.674,38494,"Course: Graphic Design with Canva, Instructor: Benjamin Lewis, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 97.4 hours, Price: 193.12, Feedback Score: 0.674"
